"1","auspost","澳大利亚邮政","+61 3 8847 9045","a","0","http://auspost.com.au/index.html"
"2","aae","AAE","400-610-0400","a","0","http://cn.aaeweb.com"
"3","anxindakuaixi","安信达","021-54224681","a","0","http://www.anxinda.com"
"4","baifudongfang","百福东方","010-57169000","b","0","http://www.ees.com.cn"
"5","bht","BHT","010-58633508","b","0","http://www.bht-exp.com/"
"6","bangsongwuliu","邦送物流","021-20965696","b","0","http://express.banggo.com"
"7","cces","希伊艾斯（CCES）","400-677-3777","c","0","http://www.cces.com.cn"
"8","coe","中国东方（COE）","0755-83575000","c","0","http://www.coe.com.hk"
"9","city100","城市100","010-52932760","c","0","http://www.bjcs100.com/"
"10","chuanxiwuliu","传喜物流","400-777-5656","c","0","http://www.cxcod.com/"
"11","canpost","加拿大邮政","1-866-607-6301","c","0","http://www.canadapost.ca/cpo/mc/languageswitcher.jsf"
"12","datianwuliu","大田物流","400-626-1166","d","0","http://www.dtw.com.cn"
"13","debangwuliu","德邦物流","400-830-5555","d","1","http://www.deppon.com"
"14","dpex","DPEX","021-64659883","d","0","http://www.szdpex.com.cn/"
"15","dhl","DHL","800-810-8000","d","0","http://www.cn.dhl.com"
"16","dsukuaidi","D速快递","0531-88636363","d","0","http://www.d-exp.cn"
"17","disifang","递四方","0755-33933895","d","0","http://www.4px.com"
"18","ems","EMS","11183","e","1","http://www.ems.com.cn/"
"19","ems","E邮宝","11183","e","0","http://www.ems.com.cn/"
"20","emsen","EMS国际","11183","e","0","http://www.ems.com.cn/"
"21","fedex","Fedex（国际）","400-886-1888","f","0","http://fedex.com/cn"
"22","fedexus","FedEx（美国）","800-463-3339","f","0","http://www.fedex.com/us/"
"23","feikangda","飞康达物流","010-84223376","f","0","http://www.fkd.com.cn"
"24","feibaokuaidi","飞豹快递","400-000-5566","f","0","http://www.ztky.com/feibao/KJCX.aspx"
"25","ganzhongnengda","港中能达","400-620-1111","g","0","http://www.nd56.com"
"26","guangdongyouzhengwuliu","广东邮政","020-38181677","g","0","http://www.gdpost.com.cn/"
"27","youzhengguonei","挂号信","11185","g","0","http://yjcx.chinapost.com.cn"
"28","youzhengguonei","国内邮件","11185","g","0","http://yjcx.chinapost.com.cn"
"29","youzhengguoji","国际邮件","11185","g","0","http://intmail.183.com.cn/"
"30","gongsuda","共速达","400-111-0005","g","0","http://www.gongsuda.com"
"31","huitongkuaidi","汇通快运","021-62963636","h","1","http://www.htky365.com"
"32","tiandihuayu","华宇物流","400-808-6666","h","0","http://www.hoau.net"
"33","hengluwuliu","恒路物流","400-182-6666","h","0","http://www.e-henglu.com"
"34","huaxialongwuliu","华夏龙","0755-61211999","h","0","http://www.chinadragon56.com"
"35","haiwaihuanqiu","海外环球","010-59790107","h","0","http://www.haiwaihuanqiu.com/"
"36","hebeijianhua","河北建华","0311-86123186","h","0","http://116.255.133.172/hebeiwebsite/index.jsp"
"37","haimengsudi","海盟速递","400-080-6369","h","0","http://www.hm-express.com"
"38","huaqikuaiyun","华企快运","400-626-2356","h","0","http://www.hqky.co/"
"39","jiajiwuliu","佳吉物流","400-820-5566","j","0","http://www.jiaji.com"
"40","jiayiwuliu","佳怡物流","400-660-5656","j","0","http://www.jiayi56.com/"
"41","jiayunmeiwuliu","加运美","0769-85515555","j","0","http://www.tms56.com"
"42","jinguangsudikuaijian","京广速递","0769-83660666-60","j","0","http://www.kke.com.hk"
"43","jixianda","急先达","400-694-1256","j","0","http://www.joust.cn"
"44","jinyuekuaidi","晋越快递","0769-85158039","j","0","http://www.byondex.com"
"45","jietekuaidi","捷特快递","400-820-8585","j","0","http://www.jet185.com/"
"46","jindawuliu","金大物流","0755-82262209","j","0","http://www.szkingdom.com.cn"
"47","jialidatong","嘉里大通","400-610-3188","j","0","http://www.kerryeas.com"
"48","kuaijiesudi","快捷速递","400-830-4888","k","0","http://www.fastexpress.com.cn"
"49","kangliwuliu","康力物流","400-156-5156","k","0","http://www.kangliex.com/"
"50","kuayue","跨越物流","4008-098-098","k","0","http://www.ky-express.com/"
"51","lianhaowuliu","联昊通","0769-88620000","l","0","http://www.lhtex.com.cn"
"52","longbanwuliu","龙邦物流","021-39283333","l","0","http://www.lbex.com.cn"
"53","lanbiaokuaidi","蓝镖快递","0769-82898999","l","0","http://www.bluedart.cn"
"54","lejiedi","乐捷递","400-618-1400","l","0","http://www.ljd365.com/"
